"register_name","enum_name","bits","bit_name","value","mask","description"
"tile",,31,"last_region",1,,
"tile",,30,"z_clear",1,,
"tile",,29,"pre_sort",1,,
"tile",,28,"flush_accumulate",1,,
"tile",,"13-8","y_position",,"0x3f",
"tile",,"7-2","x_position",,"0x3f",
,,,,,,
"list_pointer",,31,"empty",1,,
"list_pointer",,"23-0","object_list",,"0xfffffc",
