"data_transfer",7,6,5,4,3,2,1,0
"digital_button","Ra","La","Da","Ua","Start","A","B","C"
"digital_button","Rb","Lb","Db","Ub","D","X","Y","Z"
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
"analog_coordinate_axis",,,,,,,,
